Artifact Name,Artifact Type,Build Method,Dependencies,Grain,Last Updated,Layer,Notes,Primary / Merge Key,Purpose,Source Objects,Status,Target Object
brz_toast_config_sales_categories,Power Query M,Query,Toast auth; restaurant GUID; config:read scope,One row per raw config payload/object,"April 27, 2026",Bronze,Config dimension source.,payload_hash,Pull sales category config into Bronze.,Toast API /config/v2/salesCategories,Documented,brz_toast_config_sales_categories
brz_toast_config_alt_payment_types,Power Query M,Query,Toast auth; restaurant GUID; config:read scope,One row per raw config payload/object,"April 27, 2026",Bronze,Used for tender/payment classification.,payload_hash,Pull alternate payment type config into Bronze.,Toast API /config/v2/alternatePaymentTypes,Documented,brz_toast_config_alt_payment_types
brz_toast_config_service_charges,Power Query M,Query,Toast auth; restaurant GUID; config:read scope,One row per raw config payload/object,"April 27, 2026",Bronze,Used by service charge staging table.,payload_hash,Pull service charge config into Bronze.,Toast API /config/v2/serviceCharges,Documented,brz_toast_config_service_charges
stg_toast_check,Power Query M,Query,brz_toast_orders_bulk,One row per check,"April 27, 2026",Silver,Nested checks expanded from orders payload.,restaurant_guid + check_guid,Normalize checks/tabs into one row per check.,brz_toast_orders_bulk,Documented,stg_toast_check
brz_toast_config_dining_options,Power Query M,Query,Toast auth; restaurant GUID; config:read scope,One row per raw config payload/object,"April 27, 2026",Bronze,Config dimension source.,payload_hash,Pull dining option config into Bronze.,Toast API /config/v2/diningOptions,Documented,brz_toast_config_dining_options
brz_toast_config_tip_withholding,Power Query M,Query,Toast auth; restaurant GUID; config:read scope,One row per raw config payload,"April 27, 2026",Bronze,Restaurant-level tip withholding config.,payload_hash,Pull tip withholding config into Bronze.,Toast API /config/v2/tipWithholding,Documented,brz_toast_config_tip_withholding
stg_toast_selection_modifier,Power Query M,Query,brz_toast_orders_bulk,One row per modifier line,"April 27, 2026",Silver,Modifier rows separated from parent selections.,restaurant_guid + parent_selection_guid + modifier_position,Normalize selection modifiers into one row per modifier line.,brz_toast_orders_bulk,Documented,stg_toast_selection_modifier
stg_toast_selection_tax,Power Query M,Query,brz_toast_orders_bulk; brz_toast_config_tax_rates,One row per selection tax application,"April 27, 2026",Silver,Uses config fallback for tax name/rate/type.,restaurant_guid + selection_guid + tax_guid + ordinal,Normalize selection tax applications.,brz_toast_orders_bulk; brz_toast_config_tax_rates,Documented,stg_toast_selection_tax
stg_toast_check_service_charge,Power Query M,Query,brz_toast_orders_bulk; brz_toast_config_service_charges,One row per applied check service charge,"April 27, 2026",Silver,Uses config fallback for gratuity/taxable/destination.,restaurant_guid + check_guid + service_charge_guid + ordinal,Normalize applied check service charges.,brz_toast_orders_bulk; brz_toast_config_service_charges,Documented,stg_toast_check_service_charge
brz_toast_config_revenue_centers,Power Query M,Query,Toast auth; restaurant GUID; config:read scope,One row per raw config payload/object,"April 27, 2026",Bronze,Config dimension source.,payload_hash,Pull revenue center config into Bronze.,Toast API /config/v2/revenueCenters,Documented,brz_toast_config_revenue_centers
brz_toast_payments,Power Query M,Query,Toast auth; restaurant GUID; orders:read scope,One row per raw payment detail payload,"April 27, 2026",Bronze,Payment-detail pull; supports separate tender-side modeling.,payload_hash,Pull payment GUID list and payment detail payloads into Bronze.,Toast API /orders/v2/payments and /orders/v2/payments/{guid},Documented,brz_toast_payments
brz_toast_orders_bulk,Power Query M,Query,Toast auth; restaurant GUID; orders:read scope,One row per raw order payload,"April 27, 2026",Bronze,Uses modified startDate/endDate window.,payload_hash,Pull raw order payloads from Toast API into Bronze.,Toast API /orders/v2/ordersBulk,Documented,brz_toast_orders_bulk
NB_BUILD_CORE_DIMENSIONS,Notebook,Notebook,Bronze Toast config/menu tables; control/audit tables,One row per dimension key; bridge grain varies by bridge table,"April 27, 2026",Silver,"Uses Delta merge/upsert, row hashes, rowcount audits, and hash-change audits.",Table-specific keys documented in Data Dictionary / Control notes,"Build and merge core restaurant, config, menu, item, modifier, and bridge dimensions from Toast Bronze tables.",brz_toast_restaurants; brz_toast_config_*; brz_toast_menus; ctl_rowcount_audit; ctl_hash_change_audit; ctl_pipeline_run,Documented,stg_dim_restaurant; stg_dim_revenue_center; stg_dim_sales_category; stg_dim_dining_option; stg_dim_discount; stg_dim_service_charge; stg_dim_tax_rate; stg_dim_alt_payment_type; stg_dim_menu_group; stg_dim_menu_item; stg_dim_modifier_group; stg_dim_modifier_option; stg_bridge_menu_item_modifier_group; stg_bridge_modifier_group_option
NB_BUILD_RECON_MART,Notebook,Notebook,Silver transactional/support tables; control/audit tables,One row per restaurant_guid + business_date,"April 27, 2026",Gold,"Already built mart_reconciliation_daily successfully based on uploaded notebook output. Use discount_amount, not discount_value.",restaurant_guid + business_date,"Build the first Gold reconciliation mart by combining sales-side, discount, tax, service charge, and payment-side daily metrics.",stg_toast_check; stg_toast_selection; stg_toast_payment; stg_toast_check_service_charge; stg_toast_check_discount; stg_toast_selection_discount; stg_toast_selection_tax; ctl_rowcount_audit; ctl_pipeline_run,Documented,mart_reconciliation_daily
NB_CREATE_CONTROL_TABLES,Notebook,Notebook,Fabric Lakehouse attached to notebook,One notebook run; creates multiple ctl_* tables,"April 27, 2026",Control / Audit,Exact DDL provided in uploaded NB_CREATE_CONTROL_TABLES export.,Not applicable; table-specific keys documented on Control / Audit Tables page,"Create and confirm required control and audit Delta tables, then log the setup run.",Fabric Spark / Delta Lake,Documented,ctl_pipeline_run; ctl_watermark; ctl_endpoint_window_log; ctl_rowcount_audit; ctl_hash_change_audit; ctl_recon_result; ctl_unresolved_member_match; ctl_manual_override_member_match; ctl_data_quality_issue
